"filename", "language", "PHP", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\log-out.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\macbook.svg", "XML", 0, 0, 9, 0, 0, 0, 1, 10
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\mail.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\minus.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\notification-bing.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\pause1.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\pdf.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\places.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\plus-circle.svg", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\plus.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\plus1.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\printer.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\product.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\purchase1.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\quotation1.svg", "XML", 0, 0, 6, 0, 0, 0, 1, 7
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\return1.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\reverse.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\sales1.svg", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\scan.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\scanner.svg", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\scanner1.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\scanners.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\search-white.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\search-whites.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\search.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\settings.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\time.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\transcation.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\transfer1.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\trash12.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\upload.svg", "XML", 0, 0, 4, 0, 0, 0, 1, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\users.svg", "XML", 0, 0, 5, 0, 0, 1, 0, 6
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\users1.svg", "XML", 0, 0, 3, 0, 0, 0, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\img\icons\wallet1.svg", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\php course\xammp\htdocs\ihub\admin\assets\js\bootstrap-datetimepicker.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2
"d:\php course\xammp\htdocs\ihub\admin\assets\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 6, 0, 7
"d:\php course\xammp\htdocs\ihub\admin\assets\js\dataTables.bootstrap4.min.js", "JavaScript", 0, 10, 0, 0, 0, 4, 1, 15
"d:\php course\xammp\htdocs\ihub\admin\assets\js\feather.min.js", "JavaScript", 0, 2, 0, 0, 0, 11, 0, 13
"d:\php course\xammp\htdocs\ihub\admin\assets\js\jquery-3.6.0.min.js", "JavaScript", 0, 1, 0, 0, 0, 1, 1, 3
"d:\php course\xammp\htdocs\ihub\admin\assets\js\jquery-ui.min.js", "JavaScript", 0, 8, 0, 0, 0, 4, 1, 13
"d:\php course\xammp\htdocs\ihub\admin\assets\js\jquery.dataTables.min.js", "JavaScript", 0, 568, 0, 0, 0, 14, 1, 583
"d:\php course\xammp\htdocs\ihub\admin\assets\js\jquery.slimscroll.min.js", "JavaScript", 0, 9, 0, 0, 0, 7, 0, 16
"d:\php course\xammp\htdocs\ihub\admin\assets\js\moment.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\js\script.js", "JavaScript", 0, 128, 0, 0, 0, 25, 11, 164
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\alertify\alertify.min.css", "CSS", 0, 0, 0, 1, 0, 5, 0, 6
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\alertify\alertify.min.js", "JavaScript", 0, 2, 0, 0, 0, 1, 0, 3
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\alertify\custom-alertify.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\apexchart\apexcharts.min.js", "JavaScript", 0, 3, 0, 0, 0, 11, 1, 15
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\apexchart\chart-data.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 21
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\chartjs\chart-data.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\chartjs\chart.min.js", "JavaScript", 0, 2, 0, 0, 0, 11, 1, 14
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\clipboard\clipboard.min.js", "JavaScript", 0, 1, 0, 0, 0, 6, 0, 7
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\countup\jquery.counterup.min.js", "JavaScript", 0, 1, 0, 0, 0, 7, 0, 8
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\countup\jquery.missofis-countdown.js", "JavaScript", 0, 16, 0, 0, 0, 8, 0, 24
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\countup\jquery.waypoints.min.js", "JavaScript", 0, 1, 0, 0, 0, 6, 0, 7
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\dragula\css\dragula.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\dragula\js\drag-drop.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\dragula\js\dragula.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fileupload\fileupload.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 2
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\flot\chart-data.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\flot\jquery.flot.fillbetween.js", "JavaScript", 0, 129, 0, 0, 0, 42, 56, 227
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\flot\jquery.flot.js", "JavaScript", 0, 2239, 0, 0, 0, 404, 526, 3169
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\flot\jquery.flot.pie.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 61
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fontawesome\css\all.min.css", "CSS", 0, 0, 0, 1, 0, 4, 0, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fontawesome\css\fontawesome.min.css", "CSS", 0, 0, 0, 1, 0, 4, 0, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fontawesome\webfonts\fa-brands-400.svg", "XML", 0, 0, 3492, 0, 0, 4, 1, 3497
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fontawesome\webfonts\fa-regular-400.svg", "XML", 0, 0, 799, 0, 0, 4, 1, 804
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fontawesome\webfonts\fa-solid-900.svg", "XML", 0, 0, 4663, 0, 0, 4, 1, 4668
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fullcalendar\fullcalendar.min.css", "CSS", 0, 0, 0, 1, 0, 4, 0, 5
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fullcalendar\fullcalendar.min.js", "JavaScript", 0, 5, 0, 0, 0, 5, 0, 10
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\fullcalendar\jquery.fullcalendar.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 7
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\icons\feather\feather.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
